number,capacity,type
C101,90,Classroom
C102,90,Classroom
C103,90,Classroom
C104,90,Classroom
C105,90,Classroom
C106,90,Classroom
C107,90,Classroom
C108,90,Classroom
C109,90,Classroom
C110,90,Classroom
C201,90,Classroom
C202,90,Classroom
C203,90,Classroom
C204,90,Classroom
C205,90,Classroom
C206,90,Classroom
C207,90,Classroom
C208,90,Classroom
C209,90,Classroom
C210,90,Classroom
L101,30,Lab
L102,30,Lab
L103,30,Lab
L104,30,Lab
L105,30,Lab
L106,30,Lab
L107,30,Lab
L108,30,Lab
L109,30,Lab
L110,30,Lab
L201,30,Lab
L202,30,Lab
L203,30,Lab
L204,30,Lab
L205,30,Lab
C301,90,Classroom
C302,90,Classroom
C303,90,Classroom
C304,90,Classroom
C305,90,Classroom
C306,90,Classroom
C307,90,Classroom
C308,90,Classroom
C309,90,Classroom
C310,90,Classroom
C401,90,Classroom
C402,90,Classroom
C403,90,Classroom
C404,90,Classroom
C405,90,Classroom
C406,90,Classroom
C407,90,Classroom
C408,90,Classroom
C409,90,Classroom
C410,90,Classroom
C004,240,Classroom
C001,80,Classroom
C002,120,Classroom
C003,120,Classroom
